0	10
0	5
4	4
0	3
4	32
6	25
8	168
8	157
2	2
8	172
12	183
6	178
12	173
10	179
12	183
12	191
16	1445
18	1447
20	1443
20	1377
20	1423
22	1496
24	1508
20	1494
26	1421
26	1615
28	1635
28	1587
30	1721
28	1720
30	1704
30	1691
34	12201
24	1610
36	12481
36	12413
38	12691
38	16691
38	13111
36	12913
42	12936
42	13566
44	13921
44	13584
44	12864
46	13258
48	13580
44	12719
50	13020
48	13454
50	13419
52	13950
48	12872
50	13492
54	13577
56	14125
58	14598
50	13803
58	14462
60	14981
62	15166
60	14761
64	14868
60	14515
64	14344
